,index,cause,effect,conceptual_explanation,t1,t2,t3,t1_filtered,t2_filtered,t3_filtered
19,dev-19,The financial crisis left many people homeless.,"After the financial crisis, the suicide rate increased significantly.",Homelessness greatly increases the likelihood of a suicide attempt.,did the financial crisis increase the suicide rate?,what did the financial crisis do to the suicide rate?,why did the suicide rate increase after the financial crisis?,did the financial crisis increase the suicide rate?,what did the financial crisis do to the suicide rate?,why did the suicide rate increase after the financial crisis?
20,dev-20,The two competitors became friends of reciprocity.,They often exchange their own privileges.,Reciprocity is a mutual exchange of privileges.,what did the two competitors do during the competition?,what is the effect of the two competitors becoming friends?,do two competitors exchange their own privileges?,what did the two competitors do during the competition?,what is the effect of the two competitors becoming friends?,do two competitors exchange their own privileges?
21,dev-21,Mary read some papers.,She knew lots of details.,Paper gives details.,what kind of paper did mary read?,what is a cause of mary's knowledge of details?,how did mary know the details of the papers she read?,what kind of paper did mary read?,what is a cause of mary's knowledge of details?,how did mary know the details of the papers she read?
22,dev-22,Sam wished to eat stew for supper.,Sam's wife went to buy some meat.,Stew makes with meat.,what did sam's wife want to eat?,what did sam's wife do?,what did sam's wife do?,what did sam's wife want to eat?,what did sam's wife do?,what did sam's wife do?
23,dev-23,It's half way through autumn.,It rains more in half autumn than in spring and summer combined.,Autumn is the season when rain is likely to fall.,is autumn half way through or half way through?,why is it raining more than half way through autumn?,why does it rain more in half autumn than in the summer?,is autumn half way through or half way through?,why is it raining more than half way through autumn?,why does it rain more in half autumn than in the summer?
24,dev-24,The major planets interact.,There is gravity among the planets.,Gravitation involves interaction.,what is gravity among the planets?,what is gravity among the planets?,what is gravity among the planets?,what is gravity among the planets?,what is gravity among the planets?,what is gravity among the planets?
25,dev-25,Tom has a civet.,The civet eats the fish quickly.,Civets have sharp teeth.,how fast does the civet eat the fish?,why does the civet eat fish?,tom has a civet? what the civet eats the fish?,how fast does the civet eat the fish?,why does the civet eat fish?,tom has a civet? what the civet eats the fish?
26,dev-26,Alice likes the smell of milk.,She always eats cakes with a lot of cream.,Cream has taste.,what does alice like the smell of milk?,what is the cause of alice's love for milk?,what is alice's favorite type of cake?,what does alice like the smell of milk?,what is the cause of alice's love for milk?,what is alice's favorite type of cake?
27,dev-27,Jack wanted to know why Quasars drown out the light from all the other stars in the same galaxy.,He looked it up and found out that it was because they were so bright.,Quasars drown out the light from all the other stars in the same galaxy because they are so bright.,why did jack want to know why quasars drowned out the light from other stars?,what did jack want to know about quasars?,what was the result jack was jack jack was jack jack?,why did jack want to know why quasars drowned out the light from other stars?,what did jack want to know about quasars?,what was the result jack was jack jack was jack jack?
28,dev-28,Simon's mother often let Simon eat soys.,Simon grows healthy.,Soy offers health benefits.,what kind of soys does simon eat?,why did simon's mother let him eat soys?,what did simon's mother do?,what kind of soys does simon eat?,why did simon's mother let him eat soys?,what did simon's mother do?
29,dev-29,A factory produces several tons of tissues from straws.,The quality of these tissues is different.,Straw is a nonhomogeneous material.,what type of factory produces several tons of tissues from straws?,a factory produces several tons of tissues from straws?,what quality is different because a factory produces several tons of tissues?,what type of factory produces several tons of tissues from straws?,a factory produces several tons of tissues from straws?,what quality is different because a factory produces several tons of tissues?
30,dev-30,Jack added nitrites into the water.,The catfish died earlier than the scalefish in the water.,Nitrites are more toxic to catfish than scalefish.,did the catfish die earlier or later than the scalefish?,why did the catfish die earlier than the scalefish?,why did the catfish die earlier than the scalefish?,did the catfish die earlier or later than the scalefish?,why did the catfish die earlier than the scalefish?,why did the catfish die earlier than the scalefish?
31,dev-31,His action led to the movement of the wheels.,The machine was set in motion.,Movement results in motion.,what happened to the wheels of the machine?,what was the cause of the movement of the wheels?,why was the machine set in motion?,what happened to the wheels of the machine?,what was the cause of the movement of the wheels?,why was the machine set in motion?
32,dev-32,Jack's interest is to study human species.,He decides to choose anthropology as his major in college.,Anthropology is the discipline devoted to the study of the human species.,why does Jack's interest is to study human species cause He decides to choose anthropology as his major in college?,why does jack choose anthropology as a major in college?,what is jack's interest in human species?,why does Jack's interest is to study human species cause He decides to choose anthropology as his major in college?,why does jack choose anthropology as a major in college?,what is jack's interest in human species?
33,dev-33,Father of our religion combined a union of opposite tenets.,His action of syncretism was praised.,Syncretism is the attempted union of opposite tenets is the current fashion in religion.,what did the father of our religion combine with his action of syncretism?,what was the cause of the union of opposite tenets?,what was the result of the union of opposite tenets?,what did the father of our religion combine with his action of syncretism?,what was the cause of the union of opposite tenets?,what was the result of the union of opposite tenets?
34,dev-34,Various features show that this is a dicot in the family Piperaceae.,Researchers suspected it is a peperomia.,Peperomia is a dicot in the family Piperaceae.,why does Various features show that this is a dicot in the family Piperaceae cause Researchers suspected it is a peperomia?,what is the cause of the dicot in the family piperaceae?,why does Various features show that this is a dicot in the family Piperaceae cause Researchers suspected it is a peperomia?,why does Various features show that this is a dicot in the family Piperaceae cause Researchers suspected it is a peperomia?,what is the cause of the dicot in the family piperaceae?,why does Various features show that this is a dicot in the family Piperaceae cause Researchers suspected it is a peperomia?
35,dev-35,Tom has measured the magnetism of the material.,It is 15 gammas.,Magnetometers measure magnetism in units called gammas.,how many gammas is the magnetism of the material?,what is the cause of the magnetism of the material?,how many gammas does tom measure the magnetism of the material?,how many gammas is the magnetism of the material?,what is the cause of the magnetism of the material?,how many gammas does tom measure the magnetism of the material?
36,dev-36,Tom studied the types of polypropylene.,He found that they came in two types.,Polypropylene comes in two types.,how many types of polypropylene did tom study?,what did tom find about polypropylene?,why does Tom studied the types of polypropylene cause He found that they came in two types?,how many types of polypropylene did tom study?,what did tom find about polypropylene?,why does Tom studied the types of polypropylene cause He found that they came in two types?
37,dev-37,The source of the mud was investigated.,It was reported that the soil source was very rich.,Mud comes from rich environments.,was the source of the mud rich?,what was investigated about the source of the mud?,why was the source of the mud investigated?,was the source of the mud rich?,what was investigated about the source of the mud?,why was the source of the mud investigated?
38,dev-38,The student feel anxious to take the exam.,Her teacher gave her a warm smile.,Laughter increases relaxation when under stress.,how did the teacher make the student feel about taking the exam?,what is the cause of a student feeling anxious to take an exam?,why did the teacher give the student a warm smile?,how did the teacher make the student feel about taking the exam?,what is the cause of a student feeling anxious to take an exam?,why did the teacher give the student a warm smile?
39,dev-39,This charity donates money to Asian areas with famine.,Some people western india were helped.,Famine occurs in western india.,some people western india were helped by this charity?,some people western india were helped by this charity?,some people in western india were helped because of this charity?,some people western india were helped by this charity?,some people western india were helped by this charity?,some people in western india were helped because of this charity?
40,dev-40,The state began to crack down on competitive economic activities in an all-round way.,The state has launched a policy of collusion.,Collusion is the antithesis of competitive economic activity.,when did the state crack down on competitive economic activities?,what is the cause of the state cracking down on competitive economic activities?,why does The state began to crack down on competitive economic activities in an all-round way cause The state has launched a policy of collusion?,when did the state crack down on competitive economic activities?,what is the cause of the state cracking down on competitive economic activities?,why does The state began to crack down on competitive economic activities in an all-round way cause The state has launched a policy of collusion?
41,dev-41,Tom improved his learning efficiency today.,He finished all his homework ahead of schedule.,Efficiency is the process of maximizing the productivity of inputs.,what tom finished tom tom's homework?,what did tom did what?,why did tom finish all of his homework ahead of schedule?,what tom finished tom tom's homework?,what did tom did what?,why did tom finish all of his homework ahead of schedule?
42,dev-42,Tom wants to eat watermelon.,Tom cut the rind of the watermelon.,Melons have rinds.,why does tom want to eat watermelon?,why does tom want to eat watermelon?,tom cut the rind of the watermelon because tom wanted to eat it?,why does tom want to eat watermelon?,why does tom want to eat watermelon?,tom cut the rind of the watermelon because tom wanted to eat it?
43,dev-43,Tom give the circuit voltage.,Tom has observed charge movement.,Voltage is the potential to move.,tom has observed charge movement?,tom has observed charge movement?,tom give tom gives the circuit voltage?,tom has observed charge movement?,tom has observed charge movement?,tom give tom gives the circuit voltage?
44,dev-44,This child caught roseola.,The child had a fever which followed by a rash.,Roseola is a very common viral illness characterized by fever followed by a rash.,what was the child's reaction to the roseola?,what was the cause of the child catching roseola?,did the child catch roseola?,what was the child's reaction to the roseola?,what was the cause of the child catching roseola?,did the child catch roseola?
45,dev-45,A species gradually adapted to its environment.,This phenomenon is called speciation.,Speciation is often the result of environmental adaptation.,why does A species gradually adapted to its environment cause This phenomenon is called speciation?,why does A species gradually adapted to its environment cause This phenomenon is called speciation?,why does A species gradually adapted to its environment cause This phenomenon is called speciation?,why does A species gradually adapted to its environment cause This phenomenon is called speciation?,why does A species gradually adapted to its environment cause This phenomenon is called speciation?,why does A species gradually adapted to its environment cause This phenomenon is called speciation?
46,dev-46,Tom was studying how body temperature rises.,He found out that cytokines worked in it.,Cytokines cause the body s temperature to elevate by resetting the brain s thermostat.,a tom what tom? tom?,how did tom find out about cytokines?,what what what the cy?,a tom what tom? tom?,how did tom find out about cytokines?,what what what the cy?
47,dev-47,Now it's time to remove the drugs from the patient's body.,Various elimination processes was adopted to achieve that.,Drugs are removed from the body by various elimination processes.,when was it time to remove the drugs from the patient's body?,what is the cause of removing drugs from the patient's body?,what was adopted to achieve that?,when was it time to remove the drugs from the patient's body?,what is the cause of removing drugs from the patient's body?,what was adopted to achieve that?
48,dev-48,He successfully solved the problem.,He has a clear understanding of this problem.,Problem solving is central to cognition.,how did he solve the problem?,what is the cause of his success?,why does he have a clear understanding of the problem?,how did he solve the problem?,what is the cause of his success?,why does he have a clear understanding of the problem?
49,dev-49,The villagers were happy about the harvest.,They had enough food this year.,Harvest can mean harvesting of the food.,did the villagers have enough food this year?,were the villagers happy about the harvest?,why did the villagers have enough food this year?,did the villagers have enough food this year?,were the villagers happy about the harvest?,why did the villagers have enough food this year?
50,dev-50,The lecturer is talking about t lymphocytes.,I can hear t-cells sometimes.,T lymphocytes are also called t-cells.,can i hear t - cells?,what is the effect of talking about t lymocytes?,can i hear t - cells sometimes?,can i hear t - cells?,what is the effect of talking about t lymocytes?,can i hear t - cells sometimes?
51,dev-51,The scientist put some pyridine in the water.,He found the pyridine disappeared.,Pyridine is very soluble in water.,the scientist found pyridine in the water?,what is the cause of pyridine in the water?,pyridine disappeared because the scientist put some pyridine in the water?,the scientist found pyridine in the water?,what is the cause of pyridine in the water?,pyridine disappeared because the scientist put some pyridine in the water?
52,dev-52,Amy served as an assistant in this company.,Amy is good at services work.,Assistants specialize in services.,did amy serve as an assistant in this company?,why did amy serve as an assistant in this company?,why is amy good at services work?,did amy serve as an assistant in this company?,why did amy serve as an assistant in this company?,why is amy good at services work?
53,dev-53,Virus attacked the mosquitoes.,Human might get infected owing to sick mosquitoes.,Mosquitoes get sick just like human beings do.,what type of virus attacked the mosquitoes?,what caused the virus to attack the mosquitoes?,what might happen if a human gets infected by a mosquito?,what type of virus attacked the mosquitoes?,what caused the virus to attack the mosquitoes?,what might happen if a human gets infected by a mosquito?
54,dev-54,Henry always runs into hindrances in doing business.,It is difficult for him to get mind equilibrium now.,Hindrances influence equilibrium.,is it difficult to get mind equilibrium now?,"henry henry henry? what henry? henry? henry business business, business? business business??",why does Henry always runs into hindrances in doing business cause It is difficult for him to get mind equilibrium now?,is it difficult to get mind equilibrium now?,"henry henry henry? what henry? henry? henry business business, business? business business??",why does Henry always runs into hindrances in doing business cause It is difficult for him to get mind equilibrium now?
55,dev-55,The school will hold a ceremony the day after tomorrow.,The school will hold a simulation in advance tomorrow.,Simulation includes examples.,when will the school hold a ceremony?,what is the effect of a school holding a ceremony the day after tomorrow?,why will the school hold a simulation tomorrow?,when will the school hold a ceremony?,what is the effect of a school holding a ceremony the day after tomorrow?,why will the school hold a simulation tomorrow?
56,dev-56,Tom has taken use of two pieces of magnets to make his experiment.,He has proved something about the attraction.,Ferromagnetism describes strong attraction to magnetic fields.,what has tom done with two pieces of magnets?,what is the cause of tom's experiment?,why does Tom has taken use of two pieces of magnets to make his experiment cause He has proved something about the attraction?,what has tom done with two pieces of magnets?,what is the cause of tom's experiment?,why does Tom has taken use of two pieces of magnets to make his experiment cause He has proved something about the attraction?
57,dev-57,The small chicken shoud be incubated under the same temperature.,Tom takes use of a thermostat.,Thermostats detect temperature.,how is the small chicken shoud incubated?,what is the effect of incubating the small chicken under the same temperature?,what did tom do to incubate the small chicken?,how is the small chicken shoud incubated?,what is the effect of incubating the small chicken under the same temperature?,what did tom do to incubate the small chicken?
58,dev-58,She is allergic to yeast.,She cannot have contact with dough.,Dough contains yeast.,what is she allergic to?,what is the effect of her being allergic to dough?,are you allergic to yeast?,what is she allergic to?,what is the effect of her being allergic to dough?,are you allergic to yeast?
59,dev-59,The workers have no idea about how to operate the computer.,The leader taught them in person.,Leaders display technical knowledge.,what did the leader teach the workers in person?,what is the cause of the workers having no idea how to operate a computer?,how did the leader teach the workers how to operate the computer?,what did the leader teach the workers in person?,what is the cause of the workers having no idea how to operate a computer?,how did the leader teach the workers how to operate the computer?
60,dev-60,The patient with fibroadenomas read his report of mammography.,He was in relief for its benign appearance.,Fibroadenomas have a benign appearance on mammography.,the patient with fibroadenomas read his report?,what cause did the patient with fibroadenomas read his report?,what did the patient with fibronomas do with his book?,the patient with fibroadenomas read his report?,what cause did the patient with fibroadenomas read his report?,what did the patient with fibronomas do with his book?
61,dev-61,The children will be shipped off to a boarding school.,Their parents taught their children how to solve living problems independently before going to school.,Independence is an emotion to be encouraged during the early preschool years.,where will the children be shipped off to?,what is the cause of a child being shipped off to a boarding school?,the parents taught their children how to solve their problems independently before they went to school?,where will the children be shipped off to?,what is the cause of a child being shipped off to a boarding school?,the parents taught their children how to solve their problems independently before they went to school?
62,dev-62,He went to school.,He learned a lot.,Schools are places of learning.,how much did he learn?,why did he go to school?,how much did he learn?,how much did he learn?,why did he go to school?,how much did he learn?
63,dev-63,The workers are in charge of cleaning debris.,They have to consider the waste.,Debris includes waste.,who is in charge of cleaning the debris?,what is the name of the country in which the workers have to consider the waste?,the workers are the workers of the workers?,who is in charge of cleaning the debris?,what is the name of the country in which the workers have to consider the waste?,the workers are the workers of the workers?
64,dev-64,He asked the cardiologist to watch the condition of the heart.,The doctor said that his heart rhythm is uneven.,Cardiologists can watch the heart pumping.,what did the doctor say about the doctor's heart?,what is the cause and effect of the doctor's actions?,why does He asked the cardiologist to watch the condition of the heart cause The doctor said that his heart rhythm is uneven?,what did the doctor say about the doctor's heart?,what is the cause and effect of the doctor's actions?,why does He asked the cardiologist to watch the condition of the heart cause The doctor said that his heart rhythm is uneven?
65,dev-65,Enzymes are necessary for children's growth.,Children are encouraged to eat sprouts.,Sprouts are in fact one of the richest sources of enzymes.,what is necessary for children's growth?,what is the effect of children eating sprouts?,children are encouraged to eat sprout because they are encouraged to eat sprouts?,what is necessary for children's growth?,what is the effect of children eating sprouts?,children are encouraged to eat sprout because they are encouraged to eat sprouts?
66,dev-66,The house of the people holds justice.,Parliament is a place of justice.,Parliament is the house of the people.,what kind of justice does the house of the people hold?,what is the effect of the house of people holding justice?,why is parliament a place of justice?,what kind of justice does the house of the people hold?,what is the effect of the house of people holding justice?,why is parliament a place of justice?
67,dev-67,The man devoted himself to journalism.,He mastered the popular language used in pursuit of truth.,Journalism is the popular language used in pursuit of truth.,what type of journalism did the man do?,what did the man do?,why did the man devoted himself to journalism?,what type of journalism did the man do?,what did the man do?,why did the man devoted himself to journalism?
68,dev-68,Tom found a small dome-shaped beetle.,He said he got a ladybug.,Ladybugs are small dome-shaped beetles.,what type of beetle did tom find?,what type of beetle did tom find?,the ladybug is tom?,what type of beetle did tom find?,what type of beetle did tom find?,the ladybug is tom?
69,dev-69,The primates didn't want to be exhibit animals.,They escaped from the zoo.,Zoos collect primates as exhibit animals.,the primates didn't want to be exhibit animals?,why didn't the primates want to be exhibit animals?,why does The primates didn't want to be exhibit animals cause They escaped from the zoo?,the primates didn't want to be exhibit animals?,why didn't the primates want to be exhibit animals?,why does The primates didn't want to be exhibit animals cause They escaped from the zoo?
70,dev-70,The root of the plant rotted.,"In order to save the plant, Tom gave it a rhizoid.",Rhizoids function as roots.,how did tom save the plant?,what was the cause of the plant rotting?,what did tom do in order to save the plant?,how did tom save the plant?,what was the cause of the plant rotting?,what did tom do in order to save the plant?
71,dev-71,Tom was a shepherd.,He took care of a flock of sheep.,Shepherds keep sheep.,a shepherd is a shepherd who takes care of a flock of sheep?,what type of sheep did tom care for?,what did tom do?,a shepherd is a shepherd who takes care of a flock of sheep?,what type of sheep did tom care for?,what did tom do?
72,dev-72,Tom feels that his asthma is about to attack.,He eats some singulars.,Singular is a drug used to prevent the acute attacks of asthma.,how does tom feel about his asthma?,what? what type of singulars?,why does Tom feels that his asthma is about to attack cause He eats some singulars?,how does tom feel about his asthma?,what? what type of singulars?,why does Tom feels that his asthma is about to attack cause He eats some singulars?
73,dev-73,The teacher gives an example to illustrate the grammar point.,But the students can't understand the example.,Examples have limitations.,what kind of example does the teacher give?,what kind of example does the teacher give?,can students understand an example?,what kind of example does the teacher give?,what kind of example does the teacher give?,can students understand an example?
74,dev-74,Nobody has seen edaphosauruses before.,The scientist observed its appearance.,Edaphosauruses have appearances.,who observed edaphosauruses appearance?,who observed the edaphosauruses appearance?,what did the scientist observe about the edaphosaurus?,who observed edaphosauruses appearance?,who observed the edaphosauruses appearance?,what did the scientist observe about the edaphosaurus?
75,dev-75,All relatives entered the family room.,They sat on the chairs one by one.,Chairs sit in family rooms.,who sat on the chairs in the family room?,what caused the family room to be filled with relatives?,what did the relatives do?,who sat on the chairs in the family room?,what caused the family room to be filled with relatives?,what did the relatives do?
76,dev-76,"There are many people, among which part of them are with normal sight and part of them are blind.",Normal people can see everything and blind people are in a dark world without any light.,Blindness is viewed in almost the opposite light.,what is the name of a people?,what is the cause and effect of people who are with normal sight?,"why does There are many people, among which part of them are with normal sight and part of them are blind cause Normal people can see everything and blind people are in a dark world without any light?",what is the name of a people?,what is the cause and effect of people who are with normal sight?,"why does There are many people, among which part of them are with normal sight and part of them are blind cause Normal people can see everything and blind people are in a dark world without any light?"
77,dev-77,The wine must be kept from becoming flabby.,Acidity should be used.,Acidity is used to keep the wine from becoming flabby.,what should be used? the wine should be used? what is it called?,"what should be used, what should be used? is it used?",what should be used to make a wine?,what should be used? the wine should be used? what is it called?,"what should be used, what should be used? is it used?",what should be used to make a wine?
78,dev-78,Tom ran into an anemone.,He was poisoned.,Anemones release toxins.,what type of an anemone did tom run into?,what was the cause of tom's poisoning?,why did tom run into an anemone?,what type of an anemone did tom run into?,what was the cause of tom's poisoning?,why did tom run into an anemone?
79,dev-79,The company keeps the steel in a wet warehouse.,The company loses one million due to rust after a few months.,Moisture is the main cause of rust.,does the company keep steel in a wet warehouse?,why does the company keep the steel in a wet warehouse?,how much money did the company lose due to rust?,does the company keep steel in a wet warehouse?,why does the company keep the steel in a wet warehouse?,how much money did the company lose due to rust?
80,dev-80,Mary ate lots of chocolate.,She also intook theobromine.,Chocolate contains an ingredient called theobromine.,why does Mary ate lots of chocolate cause She also intook theobromine?,what was the effect of mary eating lots of chocolate?,what what mary was theo?,why does Mary ate lots of chocolate cause She also intook theobromine?,what was the effect of mary eating lots of chocolate?,what what mary was theo?
81,dev-81,Tracheilds are not suitable to be used as fire materials.,Farmers do not use softwoods as firewoods.,Softwoods contain only tracheids.,are tracheilds suitable for fire?,what causes tracheilds not to be suitable for fire materials?,why does Tracheilds are not suitable to be used as fire materials cause Farmers do not use softwoods as firewoods?,are tracheilds suitable for fire?,what causes tracheilds not to be suitable for fire materials?,why does Tracheilds are not suitable to be used as fire materials cause Farmers do not use softwoods as firewoods?
82,dev-82,The field was very quiet at night.,The silence was broken by several bird calls.,Blackbirds break up the quiet by cawing while soaring overhead.,how quiet was the field at night?,why does The field was very quiet at night cause The silence was broken by several bird calls?,the bird birds on the field was quiet?,how quiet was the field at night?,why does The field was very quiet at night cause The silence was broken by several bird calls?,the bird birds on the field was quiet?
83,dev-83,The possum has eaten an ill bird.,It died.,Possums acquire the disease by eating infected birds.,has a possum ever eaten an ill bird?,what is the effect of a possum eating an ill bird?,what has the possum has had a?,has a possum ever eaten an ill bird?,what is the effect of a possum eating an ill bird?,what has the possum has had a?
84,dev-84,He served as an accountant in this company.,He worked hard to manage the balance.,Accountants desire balance.,what did he do as an accountant?,why did he serve as an accountant?,why did he work hard to manage the balance?,what did he do as an accountant?,why did he serve as an accountant?,why did he work hard to manage the balance?
85,dev-85,Lyle has ophthalmologist.,Lyle's doctor treated him with a laser.,Ophthalmologists commonly treat proliferative retinopathy with laser therapy.,who is lyle's doctor?,does lyle have an ophthalmologist?,what kind of doctor was lyle?,who is lyle's doctor?,does lyle have an ophthalmologist?,what kind of doctor was lyle?
86,dev-86,This experiment requires a gray-white solid with a shiny surface.,The teacher provided tellurium.,Tellurium is a grayish-white solid with a shiny surface.,gray - white solid with a shiny surface is required in this experiment?,what is the cause of this experiment?,why does This experiment requires a gray-white solid with a shiny surface cause The teacher provided tellurium?,gray - white solid with a shiny surface is required in this experiment?,what is the cause of this experiment?,why does This experiment requires a gray-white solid with a shiny surface cause The teacher provided tellurium?
87,dev-87,Their new baby born yesterday.,This new life starts to cry.,Lives start with breathes.,what does this new life start to cry?,what causes a new life to start?,what does this new life start to cry because of?,what does this new life start to cry?,what causes a new life to start?,what does this new life start to cry because of?
88,dev-88,The vocal folds vibrated.,Compression sound waves were produced.,Vibration creates compression waves.,what type of compression sound waves were produced?,why does The vocal folds vibrated cause Compression sound waves were produced?,why were compression sound waves produced?,what type of compression sound waves were produced?,why does The vocal folds vibrated cause Compression sound waves were produced?,why were compression sound waves produced?
89,dev-89,Jack's hemoglobin levels are low.,He has been dizzy lately.,Hemoglobins have mass.,how low are jack's hemoglobin levels?,what is the cause of jack's low hemoglobin levels?,how is jack's hemoglobin levels?,how low are jack's hemoglobin levels?,what is the cause of jack's low hemoglobin levels?,how is jack's hemoglobin levels?
90,dev-90,Jerry was baptized.,He was identified by the believers.,Baptism is an identification with the community of believers.,why does Jerry was baptized cause He was identified by the believers?,what was the cause of jerry being baptized?,why does Jerry was baptized cause He was identified by the believers?,why does Jerry was baptized cause He was identified by the believers?,what was the cause of jerry being baptized?,why does Jerry was baptized cause He was identified by the believers?
